Country,Date,realGDP,realPersInc,unempRate,indProd,retailSales,recBinary
USA,2/1/2005,100.37,107.3814995,0.054,95.54,93.8138,0
USA,3/1/2005,100.42,106.9615788,0.052,95.38,93.4641,0
USA,4/1/2005,100.45,106.4985283,0.052,95.55,94.644,0
USA,5/1/2005,100.48,106.0199369,0.051,95.67,93.7526,0
USA,6/1/2005,100.52,105.6033349,0.05,96.04,96.1208,0
USA,7/1/2005,100.57,105.3308677,0.05,95.73,96.9203,0
USA,8/1/2005,100.63,105.2281743,0.049,96,94.8798,0
USA,9/1/2005,100.71,105.2218193,0.05,94.2,93.7466,0
USA,10/1/2005,100.79,105.2286442,0.05,95.39,93.8999,0
USA,11/1/2005,100.9,105.1887173,0.05,96.36,95.1139,0
USA,12/1/2005,101.01,105.0814773,0.049,96.96,95.1788,0
USA,1/1/2006,101.12,104.8916221,0.047,97.07,97.3495,0
USA,2/1/2006,101.2,104.7051661,0.048,97.08,96.4354,0
USA,3/1/2006,101.25,104.7741782,0.047,97.28,96.7064,0
USA,4/1/2006,101.25,105.361371,0.047,97.67,96.8106,0
USA,5/1/2006,101.23,106.4266574,0.046,97.57,95.944,0
USA,6/1/2006,101.2,107.4500354,0.046,97.94,96.1494,0
USA,7/1/2006,101.17,107.8759957,0.047,97.91,96.3752,0
USA,8/1/2006,101.17,107.5588846,0.047,98.29,95.9233,0
USA,9/1/2006,101.18,106.9812978,0.045,98.09,95.7794,0
USA,10/1/2006,101.22,106.6724421,0.044,98.04,96.1515,0
USA,11/1/2006,101.25,106.8081956,0.045,97.94,96.2946,0
USA,12/1/2006,101.29,107.0405698,0.044,98.96,97.0573,0
USA,1/1/2007,101.32,106.9844585,0.046,98.45,96.6124,0
USA,2/1/2007,101.36,106.5137814,0.045,99.44,96.5614,0
USA,3/1/2007,101.41,105.8739688,0.044,99.65,96.9398,0
USA,4/1/2007,101.46,105.3360671,0.045,100.36,96.1667,0
USA,5/1/2007,101.53,105.0317145,0.044,100.4,97.1705,0
USA,6/1/2007,101.61,104.8991103,0.046,100.43,96.1678,0
USA,7/1/2007,101.69,104.8625797,0.047,100.4,96.3677,0
USA,8/1/2007,101.76,104.8621412,0.046,100.62,96.6781,0
USA,9/1/2007,101.81,104.858882,0.047,101.01,97.1649,0
USA,10/1/2007,101.84,104.8163275,0.047,100.58,96.9171,0
USA,11/1/2007,101.84,104.735303,0.047,101.17,97.0784,0
USA,12/1/2007,101.8,104.6650878,0.05,101.19,95.8758,0
USA,1/1/2008,101.73,104.6564868,0.05,100.91,95.7147,1
USA,2/1/2008,101.67,104.6983944,0.049,100.57,94.6491,1
USA,3/1/2008,101.61,104.7018803,0.051,100.34,94.4186,1
USA,4/1/2008,101.54,104.5754637,0.05,99.58,94.645,1
USA,5/1/2008,101.43,104.3084288,0.054,99.02,94.4181,1
USA,6/1/2008,101.25,103.9883095,0.056,98.78,93.837,1
USA,7/1/2008,100.99,103.7069441,0.058,98.26,92.6702,1
USA,8/1/2008,100.64,103.5048016,0.061,96.76,92.2384,1
USA,9/1/2008,100.2,103.3618749,0.061,92.56,90.259,1
USA,10/1/2008,99.71,103.2544011,0.065,93.44,87.4585,1
USA,11/1/2008,99.22,103.1501886,0.068,92.27,85.5356,1
USA,12/1/2008,98.77,103.0074406,0.073,89.57,83.8361,1
USA,1/1/2009,98.38,102.785896,0.078,87.44,84.9711,1
USA,2/1/2009,98.07,102.5021328,0.083,86.88,84.4952,1
USA,3/1/2009,97.84,102.2354122,0.087,85.5,83.1363,1
USA,4/1/2009,97.7,102.065955,0.09,84.82,83.271,1
USA,5/1/2009,97.63,102.0150791,0.094,83.96,84.188,1
USA,6/1/2009,97.64,102.0412288,0.095,83.64,84.7198,0
USA,7/1/2009,97.71,102.1014986,0.095,84.56,85.1441,0
USA,8/1/2009,97.82,102.194864,0.096,85.5,86.8204,0
USA,9/1/2009,97.97,102.3635699,0.098,86.15,84.2607,0
USA,10/1/2009,98.14,102.6482699,0.1,86.43,84.7796,0
USA,11/1/2009,98.31,103.0071672,0.099,86.77,85.405,0
USA,12/1/2009,98.46,103.3160148,0.099,87.03,85.7267,0
USA,1/1/2010,98.61,103.4526543,0.098,88.04,85.8814,0
USA,2/1/2010,98.75,103.4180673,0.098,88.36,85.7953,0
USA,3/1/2010,98.9,103.3324244,0.099,88.94,87.8296,0
USA,4/1/2010,99.05,103.3156747,0.099,89.27,88.3465,0
USA,5/1/2010,99.21,103.383076,0.096,90.58,87.8263,0
USA,6/1/2010,99.35,103.4518054,0.094,90.71,87.6987,0
USA,7/1/2010,99.47,103.4417156,0.094,91.11,87.6445,0
USA,8/1/2010,99.56,103.3979436,0.095,91.39,88.0811,0
USA,9/1/2010,99.62,103.4792302,0.095,91.6,88.6965,0
USA,10/1/2010,99.65,103.8360516,0.094,91.35,89.7853,0
USA,11/1/2010,99.64,104.391347,0.098,91.38,90.1217,0
USA,12/1/2010,99.6,104.8683622,0.093,92.27,90.4371,0
USA,1/1/2011,99.55,104.9976234,0.091,92.15,90.9474,0
USA,2/1/2011,99.5,104.754768,0.09,91.74,91.202,0
USA,3/1/2011,99.47,104.3236305,0.09,92.65,91.6051,0
USA,4/1/2011,99.45,103.8896574,0.091,92.32,91.7215,0
USA,5/1/2011,99.44,103.5554819,0.09,92.53,91.348,0
USA,6/1/2011,99.45,103.3556616,0.091,92.8,91.9295,0
USA,7/1/2011,99.46,103.3184803,0.09,93.29,91.9681,0
USA,8/1/2011,99.51,103.405312,0.09,93.82,91.6271,0
USA,9/1/2011,99.6,103.5243036,0.09,93.79,92.2083,0
USA,10/1/2011,99.72,103.5871444,0.088,94.44,93.2415,0
USA,11/1/2011,99.85,103.580566,0.086,94.36,93.3249,0
USA,12/1/2011,99.97,103.5490671,0.085,94.89,93.0503,0
USA,1/1/2012,100.08,103.5363311,0.083,95.47,93.6266,0
USA,2/1/2012,100.15,103.5532562,0.083,95.69,94.654,0
USA,3/1/2012,100.19,103.5863195,0.082,95.24,94.8437,0
USA,4/1/2012,100.19,103.6193928,0.082,95.96,94.2687,0
USA,5/1/2012,100.16,103.6088845,0.082,96.14,94.3976,0
USA,6/1/2012,100.11,103.491411,0.082,96.12,93.4198,0
USA,7/1/2012,100.03,103.2118072,0.082,96.37,93.9717,0
USA,8/1/2012,99.95,102.8269719,0.081,95.91,94.7304,0
USA,9/1/2012,99.88,102.4719376,0.078,95.96,95.3839,0
USA,10/1/2012,99.82,102.2744484,0.078,96.16,95.0908,0
USA,11/1/2012,99.78,102.2525184,0.077,96.63,95.5961,0
USA,12/1/2012,99.77,102.3501532,0.079,96.97,95.8616,0
USA,1/1/2013,99.78,102.5056951,0.08,96.84,96.4086,0
USA,2/1/2013,99.78,102.6070129,0.077,97.4,97.0355,0
USA,3/1/2013,99.77,102.5090471,0.075,97.79,96.3345,0
USA,4/1/2013,99.76,102.0855594,0.076,97.62,96.5148,0
USA,5/1/2013,99.76,101.428996,0.075,97.73,97.1772,0
USA,6/1/2013,99.77,100.7697808,0.075,97.93,97.5832,0
USA,7/1/2013,99.79,100.3228194,0.073,97.51,97.9236,0
USA,8/1/2013,99.82,100.1122574,0.072,98.16,97.3663,0
USA,9/1/2013,99.83,100.0458506,0.072,98.66,97.6397,0
USA,10/1/2013,99.82,100.032176,0.072,98.49,98.0684,0
USA,11/1/2013,99.79,100.0054338,0.069,98.78,97.7313,0
USA,12/1/2013,99.74,99.91494067,0.067,99.08,98.1019,0
USA,1/1/2014,99.69,99.72294843,0.066,98.67,96.8,0
USA,2/1/2014,99.68,99.51763962,0.067,99.5,97.8364,0
USA,3/1/2014,99.73,99.45902041,0.067,100.46,99.0677,0
USA,4/1/2014,99.83,99.68164324,0.062,100.5,99.1564,0
USA,5/1/2014,99.97,100.0710988,0.063,100.87,99.3163,0
USA,6/1/2014,100.12,100.3757225,0.061,101.25,99.5797,0
USA,7/1/2014,100.26,100.3726391,0.062,101.44,99.7029,0
USA,8/1/2014,100.38,100.1133015,0.061,101.33,100.2989,0
USA,9/1/2014,100.48,99.795334,0.059,101.64,100.0827,0
USA,10/1/2014,100.55,99.59673256,0.057,101.66,100.2906,0
USA,11/1/2014,100.6,99.51279288,0.058,102.45,100.8685,0
USA,12/1/2014,100.65,99.44473942,0.056,102.3,100.0183,0
USA,1/1/2015,100.69,99.30329035,0.057,101.8,99.765,0
USA,2/1/2015,100.73,99.08492799,0.055,101.28,98.9655,0
USA,3/1/2015,100.75,98.82880023,0.054,100.99,99.4894,0
USA,4/1/2015,100.76,98.57359111,0.054,100.4,99.4703,0
USA,5/1/2015,100.75,98.35178026,0.056,99.96,100.0124,0
USA,6/1/2015,100.7,98.19286571,0.053,99.62,99.907,0
USA,7/1/2015,100.63,98.11679538,0.052,100.2,100.4663,0
USA,8/1/2015,100.54,98.07017883,0.051,100.05,100.4028,0
USA,9/1/2015,100.43,97.96558603,0.05,99.68,100.2735,0
USA,10/1/2015,100.32,97.72684111,0.05,99.31,99.8126,0
USA,11/1/2015,100.22,97.36232728,0.051,98.63,100.0306,0
USA,12/1/2015,100.14,96.9183274,0.05,98.07,100.383,0
USA,1/1/2016,100.07,96.44627174,0.049,98.89,99.9099,0
USA,2/1/2016,100.02,96.03287301,0.049,98.19,100.7432,0
USA,3/1/2016,99.98,95.78011163,0.05,97.41,100.2167,0
USA,4/1/2016,99.95,95.76636239,0.05,97.51,100.3989,0
USA,5/1/2016,99.92,95.90847531,0.048,97.42,100.4577,0
USA,6/1/2016,99.9,96.05583009,0.049,97.85,101.2883,0
USA,7/1/2016,99.87,96.08177745,0.048,98.1,101.2432,0
USA,8/1/2016,99.85,96.01843703,0.049,98.01,101.0605,0
USA,9/1/2016,99.83,95.96193328,0.05,98.02,101.307,0
USA,10/1/2016,99.8,95.99406994,0.049,98.21,101.4545,0
USA,11/1/2016,99.78,96.10517177,0.047,98.02,100.9786,0
USA,12/1/2016,99.76,96.24997934,0.047,98.86,102.1248,0
USA,1/1/2017,99.74,96.37351554,0.047,98.97,102.6562,0
USA,2/1/2017,99.72,96.36230434,0.046,98.59,102.2203,0
USA,3/1/2017,99.71,96.08091709,0.044,99.26,102.1404,0
USA,4/1/2017,99.71,95.45246596,0.044,100.15,102.7463,0
USA,5/1/2017,99.72,94.74214911,0.044,100.29,102.2482,0
USA,6/1/2017,99.75,94.3389851,0.043,100.45,102.6523,0
USA,7/1/2017,99.78,94.5289804,0.043,100.41,102.7338,0
USA,8/1/2017,99.83,95.01829753,0.044,99.94,102.4902,0
USA,9/1/2017,99.88,95.31070273,0.042,99.94,104.2641,0
USA,10/1/2017,99.94,95.02215891,0.041,101.46,104.482,0
USA,11/1/2017,99.99,94.3766129,0.042,102,104.902,0
USA,12/1/2017,100.03,93.80262597,0.041,102.33,105.1665,0
USA,1/1/2018,100.08,93.64029755,0.041,102.07,104.9374,0
USA,2/1/2018,100.12,93.76832702,0.041,102.43,104.7847,0
USA,3/1/2018,100.16,93.9157228,0.04,103.02,104.6253,0
USA,4/1/2018,100.21,93.86597004,0.04,103.95,105.0402,0
USA,5/1/2018,100.24,93.67603469,0.038,103.12,105.8867,0
USA,6/1/2018,100.27,93.48839788,0.04,103.9,105.5416,0
USA,7/1/2018,100.27,93.41244458,0.038,104.36,105.932,0
USA,8/1/2018,100.26,93.39766549,0.038,105.2,105.3805,0
USA,9/1/2018,100.24,93.34537002,0.037,105.34,105.4963,0
USA,10/1/2018,100.21,93.17903828,0.038,105.58,106.5462,0
USA,11/1/2018,100.17,92.92525302,0.037,106.14,106.7422,0
USA,12/1/2018,100.15,92.64053208,0.039,106.19,104.3613,0
USA,1/1/2019,100.14,92.37346197,0.04,105.77,106.0318,0
USA,2/1/2019,100.13,92.13710857,0.038,105.24,104.9389,0
USA,3/1/2019,100.12,91.93460194,0.038,105.35,106.6123,0
USA,4/1/2019,100.1,91.76383259,0.036,104.68,106.6066,0
USA,5/1/2019,100.08,91.60010189,0.036,104.91,106.9612,0
USA,6/1/2019,100.06,91.41262443,0.037,104.96,107.1948,0
USA,7/1/2019,100.03,91.17170333,0.037,104.78,107.7126,0
USA,8/1/2019,100,90.85216268,0.037,105.52,108.31,0
USA,9/1/2019,99.97,90.43,0.035,105.15,107.551,0
UK,10/1/1999,100.67,116.33,0.058,109.64,66.8757,0
UK,11/1/1999,100.8,116.6678704,0.057,110.15,67.1891,0
UK,12/1/1999,100.87,116.7066937,0.058,109.24,67.6071,0
UK,1/1/2000,100.9,116.5267283,0.057,109.24,68.9655,0
UK,2/1/2000,100.88,116.2208979,0.057,110.05,67.7116,0
UK,3/1/2000,100.81,115.9309241,0.056,109.74,68.1296,0
UK,4/1/2000,100.72,115.810278,0.056,109.44,68.0251,0
UK,5/1/2000,100.59,115.9467317,0.055,109.74,67.9206,0
UK,6/1/2000,100.44,116.184238,0.053,110.25,68.1296,0
UK,7/1/2000,100.28,116.3102041,0.052,109.14,68.2341,0
UK,8/1/2000,100.13,116.1820461,0.053,110.35,69.07,0
UK,9/1/2000,99.99,115.9074635,0.053,109.24,68.9655,0
UK,10/1/2000,99.9,115.6500583,0.052,109.54,69.5925,0
UK,11/1/2000,99.85,115.5226335,0.051,110.65,69.5925,0
UK,12/1/2000,99.87,115.4630305,0.051,110.25,69.8015,0
UK,1/1/2001,99.93,115.3714584,0.051,110.15,70.9509,0
UK,2/1/2001,100,115.1832052,0.05,109.44,71.9958,0
UK,3/1/2001,100.08,114.9499721,0.048,109.24,71.8913,0
UK,4/1/2001,100.14,114.7475685,0.047,108.23,72.3093,0
UK,5/1/2001,100.18,114.6247627,0.049,108.33,73.6677,0
UK,6/1/2001,100.19,114.5438452,0.05,108.33,73.1452,1
UK,7/1/2001,100.18,114.4498652,0.051,107.32,73.8767,1
UK,8/1/2001,100.13,114.3068507,0.05,109.14,73.7722,1
UK,9/1/2001,100.07,114.1373289,0.05,107.82,74.6082,1
UK,10/1/2001,99.98,113.9750378,0.05,106.91,74.9216,1
UK,11/1/2001,99.87,113.8215679,0.051,106.41,75.6531,1
UK,12/1/2001,99.77,113.5829879,0.051,106.51,76.28,1
UK,1/1/2002,99.67,113.1477952,0.05,106.41,76.0711,1
UK,2/1/2002,99.57,112.4903427,0.051,106.81,77.116,1
UK,3/1/2002,99.49,111.8309502,0.052,108.23,77.6385,1
UK,4/1/2002,99.43,111.4335542,0.052,106.91,78.8924,1
UK,5/1/2002,99.38,111.4509858,0.051,108.33,78.2654,1
UK,6/1/2002,99.36,111.7291191,0.051,103.98,77.2205,1
UK,7/1/2002,99.35,112.061359,0.052,105.8,78.6834,1
UK,8/1/2002,99.36,112.2947706,0.052,106.71,78.6834,0
UK,9/1/2002,99.37,112.4194098,0.052,107.22,78.5789,0
UK,10/1/2002,99.39,112.4488944,0.051,106.1,78.9969,0
UK,11/1/2002,99.4,112.398313,0.051,105.8,79.4148,0
UK,12/1/2002,99.42,112.2865345,0.05,106.1,79.3103,0
UK,1/1/2003,99.44,112.1330216,0.051,105.39,78.4744,0
UK,2/1/2003,99.47,111.9553092,0.051,106,78.7879,0
UK,3/1/2003,99.52,111.76615,0.05,105.8,79.2059,0
UK,4/1/2003,99.58,111.5776635,0.049,105.29,79.9373,0
UK,5/1/2003,99.65,111.4305654,0.049,104.99,79.1014,0
UK,6/1/2003,99.73,111.434031,0.05,105.7,80.1463,0
UK,7/1/2003,99.81,111.7067962,0.05,106.41,80.1463,0
UK,8/1/2003,99.89,112.2500159,0.05,106.41,80.2508,0
UK,9/1/2003,99.95,112.7931253,0.049,106.2,80.8777,0
UK,10/1/2003,99.99,113.0280337,0.049,107.22,81.1912,0
UK,11/1/2003,100.01,112.8032765,0.049,106.61,80.9822,1
UK,12/1/2003,100.01,112.3168419,0.048,107.32,81.6092,1
UK,1/1/2004,99.97,111.813344,0.047,107.01,83.2811,1
UK,2/1/2004,99.92,111.4178545,0.047,106.61,83.0721,1
UK,3/1/2004,99.84,110.9978907,0.047,108.63,83.6991,1
UK,4/1/2004,99.74,110.3881971,0.047,108.02,84.2215,1
UK,5/1/2004,99.62,109.5336144,0.047,107.62,84.744,1
UK,6/1/2004,99.49,108.608081,0.047,107.62,85.0575,1
UK,7/1/2004,99.37,107.8135278,0.046,105.9,84.953,1
UK,8/1/2004,99.25,107.2702108,0.046,105.8,85.0575,1
UK,9/1/2004,99.15,106.934206,0.046,106.41,85.8934,1
UK,10/1/2004,99.09,106.7419289,0.047,106.71,85.371,1
UK,11/1/2004,99.06,106.6299979,0.047,107.22,85.6844,1
UK,12/1/2004,99.08,106.535425,0.047,107.32,85.371,0
UK,1/1/2005,99.15,106.3956822,0.047,106.91,85.8934,0
UK,2/1/2005,99.26,106.1927066,0.046,107.01,85.5799,0
UK,3/1/2005,99.41,105.9918859,0.046,105.09,85.4754,0
UK,4/1/2005,99.6,105.8673589,0.047,107.01,85.2665,0
UK,5/1/2005,99.8,105.850923,0.047,107.32,85.0575,0
UK,6/1/2005,100.02,105.8975733,0.046,107.42,85.5799,0
UK,7/1/2005,100.26,105.9544696,0.046,106.81,85.5799,0
UK,8/1/2005,100.49,105.9923862,0.046,106,85.4754,0
UK,9/1/2005,100.72,106.0235015,0.049,105.5,85.8934,0
UK,10/1/2005,100.93,106.0630508,0.051,105.39,86.5204,0
UK,11/1/2005,101.09,106.038708,0.051,106.61,87.0428,0
UK,12/1/2005,101.2,105.7297243,0.051,107.62,86.7294,0
UK,1/1/2006,101.25,104.9049129,0.051,108.02,86.5204,0
UK,2/1/2006,101.25,103.6091757,0.052,107.42,86.4159,0
UK,3/1/2006,101.22,102.339915,0.053,107.72,86.9383,0
UK,4/1/2006,101.16,101.6311351,0.054,107.32,87.1473,0
UK,5/1/2006,101.1,101.6762133,0.054,107.22,87.7743,0
UK,6/1/2006,101.04,102.1286573,0.054,108.02,87.9833,0
UK,7/1/2006,100.99,102.5967907,0.054,107.11,88.0878,0
UK,8/1/2006,100.97,102.8447478,0.054,107.92,88.0878,0
UK,9/1/2006,100.98,102.8754978,0.054,108.13,87.4608,0
UK,10/1/2006,101.04,102.7130127,0.054,107.72,88.6102,0
UK,11/1/2006,101.13,102.4222003,0.054,108.23,88.9237,0
UK,12/1/2006,101.26,102.1286624,0.054,107.42,89.7597,0
UK,1/1/2007,101.41,101.9604595,0.055,108.93,88.6102,0
UK,2/1/2007,101.57,101.9252091,0.055,108.02,89.5507,0
UK,3/1/2007,101.73,101.8577824,0.055,108.02,89.8642,0
UK,4/1/2007,101.89,101.5833188,0.054,107.72,90.3866,0
UK,5/1/2007,102.05,101.0905045,0.053,109.54,90.0731,0
UK,6/1/2007,102.22,100.594958,0.052,108.33,90.0731,0
UK,7/1/2007,102.38,100.3250434,0.053,107.92,90.5956,0
UK,8/1/2007,102.54,100.3427476,0.053,108.83,90.9091,0
UK,9/1/2007,102.69,100.4866928,0.052,107.82,90.9091,0
UK,10/1/2007,102.82,100.5831388,0.051,108.33,90.5956,0
UK,11/1/2007,102.94,100.5872706,0.05,108.73,91.1181,0
UK,12/1/2007,103.03,100.6217517,0.05,108.53,90.3866,0
UK,1/1/2008,103.08,100.8177335,0.051,109.04,91.0136,1
UK,2/1/2008,103.06,101.2085941,0.051,108.83,92.8945,1
UK,3/1/2008,102.96,101.7048064,0.052,107.01,91.3271,1
UK,4/1/2008,102.78,102.2104919,0.051,108.23,90.3866,1
UK,5/1/2008,102.49,102.6790571,0.053,107.11,93.4169,1
UK,6/1/2008,102.1,103.1238629,0.054,106.1,90.0731,1
UK,7/1/2008,101.62,103.5606214,0.057,105.9,89.8642,1
UK,8/1/2008,101.07,103.965035,0.058,106.81,90.0731,1
UK,9/1/2008,100.48,104.2657028,0.059,105.19,90.0731,1
UK,10/1/2008,99.87,104.3912596,0.061,103.98,89.6552,1
UK,11/1/2008,99.27,104.3509818,0.063,100.64,89.3417,1
UK,12/1/2008,98.73,104.246031,0.065,99.63,90.1776,1
UK,1/1/2009,98.25,104.1813818,0.067,97.3,90.1776,1
UK,2/1/2009,97.86,104.2292614,0.071,97.2,89.1327,1
UK,3/1/2009,97.57,104.4257827,0.073,96.9,89.8642,1
UK,4/1/2009,97.38,104.8013276,0.076,98.52,91.0136,1
UK,5/1/2009,97.26,105.2858776,0.077,96.9,90.2821,1
UK,6/1/2009,97.21,105.7022465,0.078,97.51,91.3271,1
UK,7/1/2009,97.21,105.8740234,0.078,98.52,91.4316,1
UK,8/1/2009,97.25,105.7712569,0.077,96.19,91.6405,0
UK,9/1/2009,97.31,105.5153107,0.078,97.3,91.6405,0
UK,10/1/2009,97.41,105.2286087,0.077,97.81,91.745,0
UK,11/1/2009,97.54,104.8976127,0.077,98.52,91.8495,0
UK,12/1/2009,97.69,104.3728229,0.077,98.31,92.0585,0
UK,1/1/2010,97.88,103.5114638,0.079,98.62,88.8192,0
UK,2/1/2010,98.08,102.4450101,0.08,99.73,91.4316,0
UK,3/1/2010,98.3,101.5703873,0.08,101.35,90.9091,0
UK,4/1/2010,98.52,101.2746079,0.079,101.15,91.6405,0
UK,5/1/2010,98.73,101.518321,0.078,101.15,91.5361,0
UK,6/1/2010,98.9,101.8627363,0.077,100.13,91.745,0
UK,7/1/2010,99.05,101.8761452,0.076,100.13,92.163,0
UK,8/1/2010,99.16,101.5630387,0.076,101.15,92.163,0
UK,9/1/2010,99.23,101.3234403,0.077,101.35,91.1181,0
UK,10/1/2010,99.28,101.5467464,0.078,101.75,91.5361,0
UK,11/1/2010,99.32,102.1637443,0.078,102.06,91.2226,0
UK,12/1/2010,99.37,102.7027316,0.079,102.46,90.2821,0
UK,1/1/2011,99.41,102.7053314,0.078,102.97,91.2226,0
UK,2/1/2011,99.44,102.1836906,0.077,101.35,90.8046,0
UK,3/1/2011,99.46,101.5496182,0.077,101.35,90.9091,0
UK,4/1/2011,99.46,101.207904,0.078,100.24,91.8495,0
UK,5/1/2011,99.45,101.2369793,0.08,101.25,89.9687,0
UK,6/1/2011,99.44,101.4469966,0.08,101.35,89.9687,0
UK,7/1/2011,99.43,101.6456886,0.081,100.84,90.3866,0
UK,8/1/2011,99.42,101.7279712,0.082,100.54,90.0731,0
UK,9/1/2011,99.41,101.658115,0.083,100.34,90.3866,0
UK,10/1/2011,99.4,101.4062003,0.084,100.34,91.2226,0
UK,11/1/2011,99.4,101.0005302,0.084,100.03,90.2821,0
UK,12/1/2011,99.41,100.5142277,0.083,100.03,91.0136,0
UK,1/1/2012,99.43,100.0227739,0.083,100.13,91.1181,0
UK,2/1/2012,99.43,99.61881973,0.082,99.83,90.8046,0
UK,3/1/2012,99.43,99.40780533,0.082,98.92,91.8495,0
UK,4/1/2012,99.44,99.48549819,0.08,98.92,90.7001,0
UK,5/1/2012,99.47,99.81220659,0.079,99.53,91.2226,0
UK,6/1/2012,99.51,100.2506155,0.079,97.61,91.954,0
UK,7/1/2012,99.57,100.6676589,0.078,100.24,91.745,0
UK,8/1/2012,99.6,101.0131873,0.077,99.63,91.745,0
UK,9/1/2012,99.6,101.2948629,0.077,96.59,92.0585,0
UK,10/1/2012,99.58,101.5189852,0.078,96.29,91.6405,0
UK,11/1/2012,99.55,101.6604667,0.078,97,91.4316,0
UK,12/1/2012,99.53,101.6730502,0.078,97.61,92.163,0
UK,1/1/2013,99.53,101.5192138,0.079,96.7,91.954,0
UK,2/1/2013,99.55,101.2692109,0.078,96.59,93.4169,0
